"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0740392","umls:C0740392","Infarction, Middle Cerebral Artery","4/6","83/17381",7.19854058877963e-09,1.90041471543782e-06,8.10782992630968e-07,"1958/1961/1959/4792",4
"umls:C0853193","umls:C0853193","Bipolar I disorder","3/6","64/17381",9.44841142689079e-07,0.000124719030834958,5.32094748777534e-05,"1958/1961/1959",3
"umls:C0042373","umls:C0042373","Vascular Diseases","4/6","394/17381",3.76324419677679e-06,0.000331165489316358,0.000141286711949164,"1958/5806/3310/4792",4
"umls:C3495559","umls:C3495559","Juvenile arthritis","3/6","333/17381",0.000133542351658128,0.00881379520943643,0.00376027148089991,"1958/5806/3310",3
"umls:C0151744","umls:C0151744","Myocardial Ischemia","3/6","476/17381",0.000383816973013147,0.0172031511243048,0.00733946240151762,"1958/1959/4792",3
"umls:C0037274","umls:C0037274","Dermatologic disorders","3/6","479/17381",0.000390980707370565,0.0172031511243048,0.00733946240151762,"5806/3310/4792",3
"umls:C0677607","umls:C0677607","Hashimoto Disease","2/6","121/17381",0.000707931915255334,0.0225554897961937,0.00962295617301725,"1958/4792",2
"umls:C0014038","umls:C0014038","Encephalitis","2/6","127/17381",0.000779467683347797,0.0225554897961937,0.00962295617301725,"5806/4792",2
"umls:C0026857","umls:C0026857","Musculoskeletal Diseases","2/6","132/17381",0.000841656422094408,0.0225554897961937,0.00962295617301725,"3310/4792",2
"umls:C0032964","umls:C0032964","Pregnancy Complications, Hematologic","2/6","133/17381",0.000854374613492186,0.0225554897961937,0.00962295617301725,"3310/4792",2
"umls:C0018939","umls:C0018939","Hematological Disease","2/6","143/17381",0.000986685039145639,0.0236804409394953,0.0101028994438836,"1958/4792",2
"umls:C0015929","umls:C0015929","Fetal Diseases","2/6","151/17381",0.00109922695993286,0.0241829931185229,0.0103173056765628,"3310/4792",2
"umls:C0022104","umls:C0022104","Irritable Bowel Syndrome","2/6","159/17381",0.00121769431466047,0.0247285614669512,0.0105500641027264,"1958/4792",2
"umls:C0011644","umls:C0011644","Scleroderma","2/6","166/17381",0.00132619627884721,0.0250082726868332,0.0106693986343347,"1958/1959",2
"umls:C0034067","umls:C0034067","Pulmonary Emphysema","2/6","179/17381",0.00153963902217338,0.0270976467902515,0.011560798271758,"1958/4792",2
"umls:C0009782","umls:C0009782","Connective Tissue Diseases","2/6","196/17381",0.00184203805031992,0.0303936278302786,0.0129669783805415,"3310/4792",2
"umls:C0497406","umls:C0497406","Overweight","2/6","215/17381",0.00221099501742029,0.0321453174549252,0.0137143100784569,"1958/5806",2
"umls:C0856169","umls:C0856169","Endothelial dysfunction","2/6","216/17381",0.00223131434872748,0.0321453174549252,0.0137143100784569,"5806/4792",2
