"","GSM432030","GSM432031","GSM432032","GSM432033","GSM432034","GSM432209","GSM432210","GSM432211","GSM432212","GSM432213","GSM432241","GSM432231","GSM432232","GSM432233","GSM432260","GSM432261","GSM432393","GSM432394","GSM432395","GSM432396","GSM432397","GSM432398","GSM432399","GSM432400","GSM432414","GSM432415","GSM432416"
"212609_s_at",8.20159537962435,8.00517308279474,8.13652847245406,8.25740600572945,8.29141412575594,8.33273867164881,8.26411880025058,8.11637033785801,8.28849448301785,8.22759055084052,8.05784598534829,8.05160317566461,7.93698871658252,8.1782557408206,8.04705475600556,7.44789913808115,7.80938287912667,7.70681855535757,8.12013439490926,8.09940073392934,8.00816857360489,7.87776757463719,7.65446030686378,8.02459653157645,7.76692312610744,7.74547151084612,7.96232384743433
"227647_at",8.24265819104312,8.42625618559419,8.43399656150672,8.55828369305021,8.60056069608021,8.5607444562996,8.80616521632817,8.69565735551504,8.9017474778808,8.20137277189021,8.12044504631086,8.40404749948753,8.17074026450739,8.42677703752092,8.40952119675903,8.0871785009135,8.40952119675903,8.23996599956067,8.23450175750006,8.12638496606006,8.14834004895368,8.44214928795074,8.5912107720923,8.38472457850082,8.79495586802096,8.3791560385748,8.40952119675903
"243376_at",8.11515049104156,7.9625861512202,7.69949096277574,7.56727545989232,7.13765605720644,6.78520113843748,7.04968211732584,7.5359016621804,6.94196753022425,7.25862528683239,7.88822283085342,7.78118200260544,7.6545153904724,7.3212989641491,7.51179693585318,8.2242264768697,7.78076406988299,8.10965248077193,7.68947940639301,7.9802387619583,7.9322275206595,7.58256130473617,7.07683775643547,7.37003607778503,7.56719659482463,7.52420022780862,7.35000023143109
"222314_x_at",6.93038187000912,7.19428569262839,6.94660489803443,6.87433683572781,6.75564441146728,6.40770606782139,6.84720977068081,7.02081831875848,6.78688398450279,6.95116991225659,7.20409650420488,7.08088386365069,7.31899609089221,7.17394394610606,7.08745741791307,7.34184699693307,7.40402086365097,8.03648462558946,6.80041809393239,6.97166194011453,6.89627862901999,6.95071764511514,6.7374495962223,6.88178591271588,6.90386947642094,6.85518518043157,6.8076268303103
"1557961_s_at",7.16723220040831,7.09527468399776,7.14240859370889,7.51374190324828,7.55936552009884,7.73639484817642,7.56931442146184,7.49265111612105,7.73133021840381,7.4450505006954,6.98885283283702,6.8268241624318,7.00429918448948,7.47261393179324,7.12201515579957,6.8409695987521,7.24731523997654,6.99157104503418,7.30876073655032,7.03783484918823,7.21407382990382,7.73764110189467,7.3532717350262,7.5824246122021,6.61408358343656,6.99734185490795,6.64463033633466
"227578_at",7.09652362231303,7.20274514711512,6.83569367582929,7.62756094036478,7.73934185340546,7.85628940979401,7.16065056299515,7.1032719228216,7.5764184907099,6.92724681907449,6.85926081846272,6.95843535767952,7.53784421285772,7.34643280276852,7.4203420770578,7.2221187425258,7.0614623920295,7.2141052259316,7.05735140202917,6.67252854819304,6.72095730208721,7.48909351105833,7.83720374207916,7.64306653826192,6.85592831403872,6.95284783966625,6.91007567245945
"229691_at",8.22799403272728,8.42009177420045,8.5408685091614,8.76387467518814,8.84481352870855,8.88895952633118,8.7323785864918,8.8322076678833,8.97954733364392,8.65605311612082,8.36315003499201,8.49119106315455,8.56549887369756,8.42748370723765,8.52478362506317,8.51088177224923,8.67305761322947,8.5119911683769,8.62284210133906,8.3615951113766,8.38899962906444,8.74676988580284,8.8091228428161,8.72579524031581,8.75958873809421,8.81765097499548,8.89378789815227
"236790_s_at",6.59512322238919,6.60754942318307,6.52430701147729,6.40238656047028,6.24481185186956,6.14901092788068,6.22297743778931,6.38135359182747,6.0980191976185,6.10988236637894,6.62843322157599,6.43182600944928,6.28116475758401,6.40733885719326,6.4784257890397,6.66969829009723,6.32987364934496,6.71010998531221,6.67787162603898,6.61305290567439,6.54656333322195,6.37705678632239,6.07960442276724,6.07363962918158,6.25246970104772,6.36412728365652,6.40733885719326
"1559870_at",9.04294916118911,8.61475004460391,8.76160323859855,8.72625165013569,8.45449063987977,8.45874648779278,8.4843125157082,8.6489384376131,8.66624522255662,8.51927047692974,9.00975296101971,8.80118074000425,8.83663829619237,8.83195257057307,8.69756648887711,9.05504987139174,8.87689500376683,8.86680615154272,9.04084332034414,8.75856834797595,8.99282463885367,8.65868778479881,8.64271229127669,8.49065106786628,8.54602613250539,8.48634829491777,8.43175271792301
"1568983_a_at",7.56900331747436,7.75390039865921,7.41749485126953,7.14414200847339,7.06921981094929,6.52779806772313,7.30836853856089,7.15232892523573,6.8503667459592,7.20204455237932,7.18250339085149,6.97569117610225,6.81232310532188,6.59520529216276,6.86381328099755,6.9784328973987,6.96554047868912,7.14362634286935,7.06778451988437,7.86212937769722,7.52125340077253,7.14362634286935,6.85751868028895,6.8411989246219,7.24566586630095,7.42464789245023,7.24692416812905
"1560537_at",6.33710759671095,6.30240482198309,6.08769443710389,6.11836100134552,5.95443272553037,5.53624044990479,6.08485567322077,5.78673526047952,5.71171271250391,5.98097663219372,6.05819987406604,6.23426844462851,6.13556607855876,6.02460087511239,6.20131242495543,6.4577239535512,6.00949671047007,5.9882398570598,6.25477334915853,6.39631797187382,6.31052009924921,6.04278714126418,6.02520696825233,5.7444317252563,5.94018747268126,5.79785715397631,5.83638776718317
"1569952_x_at",6.36971341434269,6.10572121007414,6.22904798569585,6.42908281133795,6.50462323337129,6.57514317833864,6.51760563005385,6.24694983564287,6.67560114442365,6.31492290637023,5.93562276886211,6.09914448747605,6.17437116542469,6.06648542623604,6.41779750131031,5.78494575813821,6.34048966106244,5.93265395931844,6.39158834994319,6.31281421558985,6.29242439459732,6.07411972519433,6.6426566507331,6.50869911508909,6.43822120332202,6.47297103164181,6.5270206287725
"236693_at",6.88911646039977,6.65773201686975,6.69326018715309,6.61397083000006,6.426159998596,6.19769948381286,6.09608750284523,6.20180896862772,6.35792369317984,6.64068170035838,6.97869060574744,6.82673153901072,6.59109241352391,6.58216129638668,6.72603656808107,6.89567455762747,6.46187980685935,6.31523203793849,6.69911133020204,6.39145775817263,6.50395836496592,6.5910986806044,6.53685699000797,6.66437599158023,6.39136966436198,6.294058433382,6.16953187362598
