"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1053_at","RFC2","5982","replication factor C subunit 2",-0.21112958379533,8.49498421467768,-1.97357149593458,0.0595328267221115,0.180676039702966,-4.90466919059038
"2","1316_at","THRA","7067","thyroid hormone receptor alpha",-0.20451244294348,7.94388315740429,-1.80424218858147,0.0832047432121175,0.228970093416719,-5.19144448474359
"3","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",0.47794635249674,7.1088769063249,3.80918567820928,0.000802963547956324,0.0075856867361118,-0.905667043984749
"4","1552288_at","CILP2","148113","cartilage intermediate layer protein 2",0.168898262775534,6.19995875516714,1.38559324385665,0.178057857889566,0.376729796642185,-5.81187891907401
"5","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",-0.420462413706819,8.46246526815567,-3.52987082360203,0.00163062131379339,0.0129525258374391,-1.58527255309117
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.0498523392077654,9.01961399465184,0.568130683722838,0.574992767298747,0.750445609532153,-6.59606209941066
"7","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",0.260499876780173,6.32213388092031,2.33216957088821,0.0280058304502561,0.105261854538817,-4.23812088161053
"8","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.154157068802334,6.67994590947471,-1.79936459621949,0.0839925953924006,0.230374470450934,-5.19941659438411
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",0.338898411950438,7.02811183212521,2.72824599868438,0.0114566114251492,0.05567162623165,-3.42219518546636
"10","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",-0.112086153609972,8.70966807930298,-0.903989625917664,0.374593693000166,0.591877100516504,-6.34808234279988
"11","1552354_at","CBARP","255057","CACN subunit beta associated regulatory protein",0.295906505704031,7.58037374787733,1.50809892949664,0.144011043963712,0.328684029752471,-5.64419986682253
"12","1552367_a_at","SCIN","85477","scinderin",-0.215871010477835,8.33135677866773,-1.14677315179212,0.262287345504709,0.47954603382337,-6.10316167689921
"13","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33",0.271697130724039,7.75924194252192,3.31256773514134,0.00280579739723416,0.0194430057459635,-2.10231532192366
"14","1552378_s_at","RDH10","157506","retinol dehydrogenase 10",-0.170846343348068,7.58062627124518,-1.02997315055319,0.312843533402327,0.532392180380541,-6.2276381020099
"15","1552390_a_at","ERICH5","203111","glutamate rich 5",-0.267684888835247,7.4767369811379,-2.78115908554365,0.0101253031347512,0.0506164806855153,-3.30779533961786
"16","1552405_at","NLRP5","126206","NLR family pyrin domain containing 5",-0.153698308471065,7.16830317657735,-1.6570573428712,0.109953645717382,0.2764736734788,-5.42456695340132
"17","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",0.355910435321627,7.65110909231284,2.92677539681779,0.00717578016061574,0.0396416039099325,-2.98720793364483
"18","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",0.0644308147830213,6.61190898643185,0.491917262751759,0.627051547779584,0.786973875839816,-6.6370463745626
"19","1552423_at","ETV3","2117","ETS variant transcription factor 3",0.145262894165874,7.62283665588864,0.922355240386387,0.36512275564468,0.583009238780989,-6.33143333283916
"20","1552470_a_at","ABHD11","83451","abhydrolase domain containing 11",-0.30691908964371,6.63588398520966,-1.899746894946,0.0690117802935077,0.20057006100467,-5.03205719548987
"21","1552476_s_at","PLCD3","113026","phospholipase C delta 3",-0.324810645872811,8.87642095632867,-2.40634931332394,0.0237951698524651,0.0931854322483181,-4.09116557607482
"22","1552485_at","LACTB","114294","lactamase beta",0.0449888262539915,8.01018269677471,0.257102324290072,0.799195184325545,0.89740438774222,-6.72672948019253
"23","1552497_a_at","SLAMF6","114836","SLAM family member 6",-0.12272592478269,8.70933511125444,-0.875943492404117,0.389364724587301,0.603922408000721,-6.37290142029769
"24","1552578_a_at","MYO3B","140469","myosin IIIB",-0.256276779723549,7.28704090615457,-2.55035762781648,0.0172373689158487,0.0742487521874814,-3.797896501788
"25","1552587_at","CNBD1","168975","cyclic nucleotide binding domain containing 1",0.38586620121503,5.96998315756278,2.32307224085828,0.0285666712433703,0.106971261879406,-4.25594246566339
"26","1552623_at","HSH2D","84941","hematopoietic SH2 domain containing",0.576715394536194,8.41902687756461,6.82551999083988,3.652385890989e-07,2.63180491916408e-05,6.62113591028506
