"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1053_at","RFC2","5982","replication factor C subunit 2",-0.615423543426243,8.49498421467768,-5.75278149750209,5.31025330082527e-06,0.000267849176493626,4.02026184439111
"2","1316_at","THRA","7067","thyroid hormone receptor alpha",0.100461447516652,7.94388315740429,0.886287305196388,0.383873710077173,0.487354390543483,-6.30696369095136
"3","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",-0.342464570273142,7.1088769063249,-2.72940912628357,0.0114256532949916,0.0358675360193951,-3.36835553135717
"4","1552288_at","CILP2","148113","cartilage intermediate layer protein 2",0.00336316992086161,6.19995875516714,0.0275904881655347,0.978206912663278,0.984614267767722,-6.70268524873988
"5","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",-0.486627403415959,8.46246526815567,-4.08533989552025,0.000395159750283492,0.00374078783296211,-0.177466297559
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.411050245145384,9.01961399465184,-4.68443929673235,8.36161608932454e-05,0.00137981552535183,1.32828094164823
"7","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",-0.0760485355354881,6.32213388092031,-0.680837483221314,0.50220584407432,0.598268082221508,-6.4678280582748
"8","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",0.0993180876778252,6.67994590947471,1.15926860908889,0.257253945608193,0.359343367944537,-6.03272626043041
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",-0.0160446035295081,7.02811183212521,-0.129164445262315,0.898256736871599,0.92503204997557,-6.69453209572097
"10","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.019109153196796,8.70966807930298,0.154117843226962,0.878749006263698,0.910706798355064,-6.69091408845342
"11","1552354_at","CBARP","255057","CACN subunit beta associated regulatory protein",0.443499256058812,7.58037374787733,2.26031107935097,0.0327234394456106,0.0760982151054218,-4.32438662364872
"12","1552367_a_at","SCIN","85477","scinderin",-0.365517025679335,8.33135677866773,-1.94173877559632,0.0634701544191874,0.124315921059203,-4.90564948028618
"13","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33",-0.0296386824059498,7.75924194252192,-0.361358777652207,0.720854528960218,0.790724414754996,-6.63636245499259
"14","1552378_s_at","RDH10","157506","retinol dehydrogenase 10",-0.49455838230198,7.58062627124518,-2.98152038357817,0.00629465851540706,0.0237119175143489,-2.81447473212266
"15","1552390_a_at","ERICH5","203111","glutamate rich 5",-0.444645256164614,7.4767369811379,-4.61971984823996,9.8928626446364e-05,0.00153066255151982,1.16470775650254
"16","1552405_at","NLRP5","126206","NLR family pyrin domain containing 5",0.151875803504482,7.16830317657735,1.63740849138196,0.114019901599518,0.194164883074939,-5.39920582665216
"17","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",-0.329968308122218,7.65110909231284,-2.71344425478557,0.0118575316892944,0.036652494713431,-3.40257814106805
"18","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",0.208987007123229,6.61190898643185,1.59557685000488,0.123095625920991,0.205935103530839,-5.46185435892264
